repository,version,path,name,measure
mockito,v4.5.0,../mockito/src/test/java/org/mockito/internal/creation/bytebuddy/InlineDelegateByteBuddyMockMakerTest.java,InlineDelegateByteBuddyMockMakerTest.java,384.75
mockito,v4.5.1,../mockito/src/test/java/org/mockito/internal/matchers/apachecommons/EqualsBuilderTest.java,EqualsBuilderTest.java,1044.41
mockito,v4.5.1,../mockito/src/test/java/org/mockitousage/matchers/MatchersTest.java,MatchersTest.java,1014.03
mockito,v4.5.1,../mockito/src/test/java/org/mockito/internal/creation/bytebuddy/InlineDelegateByteBuddyMockMakerTest.java,InlineDelegateByteBuddyMockMakerTest.java,384.75
mockito,v4.6.0,../mockito/src/test/java/org/mockito/internal/matchers/apachecommons/EqualsBuilderTest.java,EqualsBuilderTest.java,1044.41
mockito,v4.6.0,../mockito/src/test/java/org/mockitousage/matchers/MatchersTest.java,MatchersTest.java,1014.03
mockito,v4.6.0,../mockito/src/test/java/org/mockito/internal/creation/bytebuddy/InlineDelegateByteBuddyMockMakerTest.java,InlineDelegateByteBuddyMockMakerTest.java,384.75
mockito,v4.6.1,../mockito/src/test/java/org/mockito/internal/matchers/apachecommons/EqualsBuilderTest.java,EqualsBuilderTest.java,1044.41
mockito,v4.6.1,../mockito/src/test/java/org/mockitousage/matchers/MatchersTest.java,MatchersTest.java,1014.03
mockito,v4.6.1,../mockito/src/test/java/org/mockito/internal/creation/bytebuddy/InlineDelegateByteBuddyMockMakerTest.java,InlineDelegateByteBuddyMockMakerTest.java,384.75
mockito,v4.7.0,../mockito/src/test/java/org/mockito/internal/matchers/apachecommons/EqualsBuilderTest.java,EqualsBuilderTest.java,1044.41
mockito,v4.7.0,../mockito/src/test/java/org/mockitousage/matchers/MatchersTest.java,MatchersTest.java,1014.03
mockito,v4.7.0,../mockito/src/test/java/org/mockitousage/stubbing/StubbingWithAdditionalAnswersTest.java,StubbingWithAdditionalAnswersTest.java,517.02
