repository,version,path,name,measure
mockito,v4.5.1,../mockito/src/main/java/org/mockito/internal/exceptions/Reporter.java,Reporter,78
mockito,v4.6.0,../mockito/src/test/java/org/mockitousage/IMethods.java,IMethods,120
mockito,v4.6.0,../mockito/src/test/java/org/mockitousage/MethodsImpl.java,MethodsImpl,119
mockito,v4.6.0,../mockito/src/main/java/org/mockito/internal/exceptions/Reporter.java,Reporter,79
mockito,v4.6.1,../mockito/src/test/java/org/mockitousage/IMethods.java,IMethods,120
mockito,v4.6.1,../mockito/src/test/java/org/mockitousage/MethodsImpl.java,MethodsImpl,119
mockito,v4.6.1,../mockito/src/main/java/org/mockito/internal/exceptions/Reporter.java,Reporter,79
mockito,v4.7.0,../mockito/src/test/java/org/mockitousage/IMethods.java,IMethods,126
mockito,v4.7.0,../mockito/src/test/java/org/mockitousage/MethodsImpl.java,MethodsImpl,125
mockito,v4.7.0,../mockito/src/main/java/org/mockito/internal/exceptions/Reporter.java,Reporter,79
